,subdomain,domain,source,add_dt
0,pc25.www.boozt.com,www.boozt.com,amass,2020-04-28
1,www.www.boozt.com,www.boozt.com,amass,2020-04-28
2,host26.www.boozt.com,www.boozt.com,amass,2020-04-28
3,pc4.www.boozt.com,www.boozt.com,amass,2020-04-28
4,host18.www.boozt.com,www.boozt.com,amass,2020-04-28
5,test.www.boozt.com,www.boozt.com,amass,2020-04-28
6,s.imp-ppe.www.boozt.com,www.boozt.com,amass,2020-04-28
7,pc17.www.boozt.com,www.boozt.com,amass,2020-04-28
8,host17.www.boozt.com,www.boozt.com,amass,2020-04-28
9,www3.europe.www.boozt.com,www.boozt.com,amass,2020-04-28
10,pc19.www.boozt.com,www.boozt.com,amass,2020-04-28
11,host3.www.boozt.com,www.boozt.com,amass,2020-04-28
12,intranet.www.boozt.com,www.boozt.com,amass,2020-04-28
13,www.boozt.com,www.boozt.com,amass,2020-04-28
14,pics.ag.boozt.com,ag.boozt.com,amass,2020-04-28
15,host10.ag.boozt.com,ag.boozt.com,amass,2020-04-28
16,gateway.ag.boozt.com,ag.boozt.com,amass,2020-04-28
17,pc27.ag.boozt.com,ag.boozt.com,amass,2020-04-28
18,alpha.ag.boozt.com,ag.boozt.com,amass,2020-04-28
19,www.ag.boozt.com,ag.boozt.com,amass,2020-04-28
20,sip.parcel.api.boozt.com,parcel.api.boozt.com,amass,2020-04-28
21,pc17.parcel.api.boozt.com,parcel.api.boozt.com,amass,2020-04-28
22,pics.parcel.api.boozt.com,parcel.api.boozt.com,amass,2020-04-28
23,mail.parcel.api.boozt.com,parcel.api.boozt.com,amass,2020-04-28
24,network.parcel.api.boozt.com,parcel.api.boozt.com,amass,2020-04-28
25,pc22.parcel.api.boozt.com,parcel.api.boozt.com,amass,2020-04-28
26,ppp2.parcel.api.boozt.com,parcel.api.boozt.com,amass,2020-04-28
27,host5.parcel.api.boozt.com,parcel.api.boozt.com,amass,2020-04-28
28,www.parcel.api.boozt.com,parcel.api.boozt.com,amass,2020-04-28
29,s.imp-ppe.www.parcel.api.boozt.com,www.parcel.api.boozt.com,amass,2020-04-28
30,pc17.www.parcel.api.boozt.com,www.parcel.api.boozt.com,amass,2020-04-28
31,www3.europe.www.parcel.api.boozt.com,www.parcel.api.boozt.com,amass,2020-04-28
